ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 25.000000, -4.687500, 0.000000, 101.000000, 32.156864, 49.803921, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.000000, 25.000000, 5.000000, 442.600006, 301.399994, 12.363000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 25.000000, -4.687500, 0.000000, 101.000000, 32.156864, 49.803921, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.000000, 25.000000, 5.000000, 442.600006, 301.399994, 12.363000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 25.000000, -4.687500, 0.000000, 101.000000, 32.156864, 49.803921, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.000000, 25.000000, 5.000000, 442.600006, 301.399994, 12.363000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 17.647058, 0.000000, 25.000000, -4.687500, 0.000000, 101.000000, 32.156864, 49.803921, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.000000, 25.000000, 5.000000, 442.600006, 301.399994, 12.363000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 19.607843, 0.000000, 25.000000, -4.687500, 0.000000, 101.000000, 32.156864, 49.803921, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.000000, 25.000000, 5.000000, 442.600006, 301.399994, 12.363000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 19.607843, 0.000000, 25.000000, -4.687500, 0.000000, 101.000000, 31.764706, 49.803921, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.000000, 25.000000, 5.000000, 442.600006, 301.399994, 12.363000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 19.607843, 0.000000, 25.000000, -4.687500, 0.000000, 101.000000, 31.764706, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 25.000000, 5.000000, 442.600006, 301.399994, 10.722000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
0.000000, 0.000000, 0.000000, 19.607843, 27.450981, 25.000000, -4.687500, 0.000000, 101.000000, 31.764706, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 25.000000, 5.000000, 442.600006, 301.399994, 10.722000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
1.000000, 1507.750000, 0.000000, 20.000000, 27.450981, 25.000000, 0.781250, 0.000000, 28.000000, 31.764706, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 25.000000, 9.000000, 442.600006, 301.399994, 10.722000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
1.000000, 1507.750000, 0.000000, 20.000000, 27.450981, 25.000000, 0.781250, 0.000000, 28.000000, 32.156864, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 25.000000, 9.000000, 442.600006, 301.399994, 10.722000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
1.000000, 1507.750000, 0.000000, 20.000000, 27.450981, 25.000000, 0.781250, 0.000000, 28.000000, 32.156864, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 25.000000, 9.000000, 442.600006, 301.399994, 11.992000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
1.000000, 1833.500000, 0.000000, 20.000000, 23.529411, 25.000000, 0.781250, 0.000000, 24.000000, 32.156864, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 25.000000, 9.000000, 442.600006, 301.399994, 11.992000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
3.000000, 1833.500000, 0.000000, 20.000000, 23.529411, 25.000000, 0.781250, 0.000000, 24.000000, 32.156864, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 25.000000, 24.000000, 442.600006, 301.399994, 11.992000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
3.000000, 1833.500000, 0.000000, 20.000000, 23.529411, 25.000000, 0.781250, 0.000000, 24.000000, 31.764706, 52.156864, 16.078432, 31.764706, 20.000000, 0.000000, 100.000000, 0.784314, 25.000000, 24.000000, 26.000000, 25.000000, 14.335000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
3.000000, 1833.500000, 0.000000, 20.000000, 23.529411, 25.000000, 0.781250, 0.000000, 24.000000, 31.764706, 52.156864, 16.078432, 31.764706, 19.607843, 0.000000, 100.000000, 0.784314, 25.000000, 24.000000, 26.000000, 25.000000, 14.335000, 0.000000, 0.000000, 7902.000000, 0.000000, 255.000000,
